RecordedDate,ResponseId,EducationStatus,FieldOfStudy,IR_Format,IR,NR_Format,NR
11/27/2023 10:38,R_1KdW6njkh0yd0j4,5th+ Year Undergraduate,CS,Format A,2.5,Format A,1.5
11/27/2023 10:52,R_vlf8sEuomuDhTFf,3rd Year Undergraduate,CS,Format A,4,Format A,2
11/27/2023 11:05,R_2fjvRMdQ1dvpBsf,3rd Year Undergraduate,CS,Format A,3.5,Format B,4.5
11/27/2023 11:09,R_sZHhYmE0ifH7cpH,4th Year Undergraduate,CS,Format A,2,Format A,2
11/27/2023 11:14,R_2pKvx0LiX1dp47Q,5th+ Year Undergraduate,CS,Format A,2,Format A,2
11/27/2023 11:17,R_29tX07NQubhPRaG,4th Year Undergraduate,CS,Format A,4,Format A,3
11/27/2023 11:21,R_1hEGBx0MwFJkE9A,5th+ Year Undergraduate,CS,No Preference,0,Format B,3.5
11/27/2023 11:21,R_2VJDFBkAqMhYnUb,3rd Year Undergraduate,CS,Format A,2.5,Format B,1
11/27/2023 11:22,R_vTzEbGRi4XtC4Ol,4th Year Undergraduate,CS,Format A,2,Format A,1
11/27/2023 13:29,R_2343nxYM3EkDvcw,4th Year Undergraduate,CS,Format A,5,Format A,4
11/27/2023 13:30,R_1r81egQV5jVL6Tn,1st Year Undergraduate,SCI,Format A,3,Format B,2
11/27/2023 13:45,R_2t2MKsLvZnzNuYe,1st Year Undergraduate,CS,Format A,5,Format A,3
11/27/2023 13:45,R_1KwDspdSoJcnaJg,4th Year Undergraduate,CS,Format A,5,Format B,3
11/27/2023 13:49,R_OuSPTSVWE6HTgBj,4th Year Undergraduate,CS,Format A,3.5,Format B,4
11/27/2023 14:03,R_324mtDAngnn1hOC,4th Year Undergraduate,SCI,Format B,4.5,Format B,5
11/27/2023 14:25,R_2WBW44b6RZsWHH9,3rd Year Undergraduate,LI,Format B,4.5,Format B,5
11/27/2023 14:50,R_2PwnIyuFk0zs4l3,1st Year Undergraduate,LI,Format A,4,Format A,4
11/27/2023 14:50,R_3hgPbY45c7aFa56,3rd Year Undergraduate,LI,Format A,4,Format A,3
11/27/2023 14:51,R_38h5QCHRt1aySit,2nd Year Undergraduate,CS,Format A,1.5,Format A,4.5
11/27/2023 15:12,R_3kwh6Tt6u3FYA1p,3rd Year Undergraduate,CS,Format A,2.5,Format A,2
11/27/2023 15:15,R_uliFvxIkqwIgYZb,Graduate Student (Masters or PhD),LI,Format A,5,Format B,3
11/27/2023 16:16,R_vNp9pvlNnSwaZup,3rd Year Undergraduate,LI,Format A,4,Format A,3.5
11/27/2023 17:36,R_uh1oMApII8XGMXn,1st Year Undergraduate,SCI,Format A,4,Format B,3.5
11/27/2023 19:31,R_2c5FT3yeYx9Tbis,3rd Year Undergraduate,CS,Format A,2,Format B,1
11/27/2023 21:43,R_1Lw0DYvI8FWFZQc,2nd Year Undergraduate,O,Format A,5,Format B,3
11/27/2023 22:22,R_3fGWoYfXFNN69Ep,2nd Year Undergraduate,LI,Format A,4.5,Format A,4
11/28/2023 5:45,R_1E07oYQgSmdmZKX,Graduate Student (Masters or PhD),O,Format A,4,Format B,2
11/28/2023 6:24,R_2uO1Go93jT4N0C8,4th Year Undergraduate,O,Format A,5,Format B,5
11/28/2023 11:17,R_qVMOE3p8RE1w5cR,Graduate Student (Masters or PhD),SCI,Format A,4,Format A,4
11/29/2023 8:20,R_bJdYKnym8HcuXcZ,4th Year Undergraduate,CS,Format A,4.5,Format B,4
11/29/2023 8:21,R_10YEuYVDyumNf3t,5th+ Year Undergraduate,CS,Format A,4.5,Format A,5
11/29/2023 8:21,R_2Ck3IioF2HCsHKG,4th Year Undergraduate,CS,Format A,4,Format A,3
11/29/2023 8:28,R_1BSerl9LmymE3HH,3rd Year Undergraduate,CS,Format A,2.5,Format A,1.5
11/29/2023 10:11,R_3KrUehRP4R1pRto,4th Year Undergraduate,CS,Format A,5,Format B,4
11/29/2023 10:47,R_1TUvJk4CCbsGWVX,3rd Year Undergraduate,CS,Format A,4.5,Format A,4
11/29/2023 12:51,R_24cSV2oreRFkXKC,5th+ Year Undergraduate,CS,Format A,4,Format A,3.5
11/29/2023 14:38,R_3QSPkDdzgus5Vtq,3rd Year Undergraduate,CS,Format A,4.5,Format A,4.5
11/29/2023 14:40,R_2wH0CfZvx07SHwT,3rd Year Undergraduate,CS,Format A,4.5,Format B,2.5
11/29/2023 15:26,R_1onBYvKB4ff6Ewg,4th Year Undergraduate,CS,Format A,2,Format B,3
11/29/2023 18:53,R_1LindRNXMlwEZzB,3rd Year Undergraduate,CS,Format A,5,Format A,4.5
11/29/2023 22:49,R_2uQkQdUAxukdBrg,1st Year Undergraduate,CS,Format A,5,Format A,5
11/30/2023 10:53,R_NW8yZE22hoF6Gdj,4th Year Undergraduate,O,Format A,4,Format A,2.5
11/30/2023 12:29,R_2thR4TQ4O7pX8kJ,3rd Year Undergraduate,CS,Format A,5,Format A,4.5
11/30/2023 14:25,R_2wQYuxvVjnkyZ56,5th+ Year Undergraduate,CS,Format B,2,Format B,3.5
12/1/2023 11:21,R_1ow2boAMqMYjd6J,5th+ Year Undergraduate,CS,Format A,3,Format A,2
12/1/2023 11:21,R_pmjfalw7CYtgBcR,3rd Year Undergraduate,CS,Format A,3,Format B,2
12/1/2023 11:23,R_1IyKnvNSVSFLhW1,4th Year Undergraduate,CS,Format A,5,Format A,1
12/1/2023 11:25,R_1K9MrotDNag9ptC,4th Year Undergraduate,CS,Format A,3,Format A,3
12/1/2023 11:29,R_3ipVOGJYZ18oFAF,4th Year Undergraduate,CS,Format A,4,Format A,4
12/1/2023 12:18,R_1MYFcPJgZAuGNRM,5th+ Year Undergraduate,O,Format B,5,Format B,5
12/5/2023 14:05,R_2bOfgLxKHy0sBmv,2nd Year Undergraduate,LI,Format A,4,Format A,3.5
